Company,Ticker,Market Cap,Price,Daily Change (%),Country
Apple,AAPL,2871000000000.0,172.85,-1.01,USA
Microsoft,MSFT,2345000000000.0,307.27,-0.34,USA
Saudi Aramco,2222.SR,2296000000000.0,11.49,3.36,Saudi Arabia
Alphabet (Google),GOOG,1873000000000.0,2782.0,-0.39,USA
Amazon,AMZN,1657000000000.0,3257.0,-0.09,USA
Tesla,TSLA,1119000000000.0,1067.0,-0.95,USA
Berkshire Hathaway ,BRK-A,782650000000.0,531030.0,0.4,USA
NVIDIA,NVDA,664410000000.0,266.62,-2.29,USA
Meta (Facebook),FB,642800000000.0,224.84,1.11,USA
TSMC,TSM,541289999999.99994,104.38,0.12,Taiwan
Tencent,TCEHY,498370000000.0,50.36,8.49,China
Visa,V,486700000000.0,224.75,1.34,USA
UnitedHealth,UNH,481520000000.0,511.77,0.35,USA
Johnson & Johnson,JNJ,463440000000.0,176.24,-0.56,USA
JPMorgan Chase,JPM,413800000000.0,135.93,-0.29,USA
Walmart,WMT,411990000000.0,149.72,0.54,USA
Samsung,005930.KS,385890000000.0,56.81,-0.72,S. Korea
Procter & Gamble,PG,370930000000.0,153.15,0.23,USA
Mastercard,MA,362240000000.0,362.75,1.5,USA
LVMH,LVMUY,361010000000.0,143.61,0.72,France
Nestlé,NSRGY,360670000000.0,130.7,0.46,Switzerland
Exxon Mobil,XOM,353880000000.0,83.59,1.21,USA
Kweichow Moutai,600519.SS,351650000000.0,279.93,3.55,China
Roche,RHHBY,347270000000.0,50.09,1.38,Switzerland
Alibaba,BABA,332930000000.0,115.79,6.42,China
Bank of America ,BAC,330690000000.0,41.01,-0.52,USA
Chevron,CVX,327440000000.0,165.44,1.6,USA
Home Depot,HD,311030000000.0,301.0,0.56,USA
Pfizer,PFE,293530000000.0,51.31,-0.89,USA
AbbVie,ABBV,288390000000.0,161.64,-0.29,USA
ASML,ASML,279260000000.0,671.39,0.52,Netherlands
BHP Group,BHP,275340000000.0,78.89,2.12,Australia
Eli Lilly,LLY,274540000000.00003,288.28,0.67,USA
Coca-Cola,KO,270310000000.0,62.35,0.56,USA
Broadcom,AVGO,257720000000.00003,631.24,0.25,USA
ICBC,1398.HK,256980000000.00003,0.62,0.62,China
Costco,COST,256829999999.99997,579.48,0.63,USA
Novo Nordisk,NVO,254870000000.0,111.93,0.79,Denmark
Toyota,TM,251210000000.0,180.3,0.03,Japan
Walt Disney,DIS,247710000000.0,136.06,-0.8,USA
Reliance Industries,RELIANCE.NS,239780000000.0,34.93,0.8,India
Pepsico,PEP,232260000000.0,167.92,0.32,USA
Cisco,CSCO,231110000000.0,55.64,-0.22,USA
Thermo Fisher Scientific,TMO,230830000000.0,590.08,-0.1,USA
Oracle,ORCL,220450000000.0,82.56,-0.21,USA
L'Oréal,OR.PA,218240000000.0,407.62,1.25,France
Adobe,ADBE,216980000000.0,459.24,0.79,USA
Accenture,ACN,215210000000.0,339.51,0.68,Ireland
Verizon,VZ,214190000000.0,51.0,0.12,USA
Comcast,CMCSA,214100000000.0,47.23,0.88,USA
Nike,NKE,212760000000.0,134.55,-0.01,USA
Salesforce,CRM,209800000000.0,211.92,-0.19,USA
Abbott Laboratories,ABT,208990000000.0,118.51,0.13,USA
Danaher,DHR,208020000000.0,290.8,-0.86,USA
Merck,MRK,207240000000.0,81.99,-0.07,USA
Shell,RYDAF,207000000000.0,27.3,-0.18,Netherlands
Astrazeneca,AZN,204710000000.0,66.06,-0.42,UK
Intel,INTC,198800000000.0,48.82,-1.49,USA
Novartis,NVS,194610000000.0,87.08,-0.76,Switzerland
CATL,300750.SZ,190200000000.0,81.6,1.29,China
CM Bank,3968.HK,188540000000.0,7.89,0.41,China
China Construction Bank,CICHY,188350000000.0,14.92,0.48,China
Wells Fargo,WFC,186720000000.0,48.95,1.01,USA
